name,playerID,teamID,year,HR,AB,mean_exit_velo,mean_launch_angle,launch_angle_75,launch_angle_70,launch_angle_65,exit_velo_75,exit_velo_80,exit_velo_85,BPF
Jorge Polanco,polanjo01,MIN,2019,22,631,87.71724137931035,18.915708812260533,33.75,30,27,97.17500000000001,98.8,100,100
Amed Rosario,rosaram01,NYN,2019,15,616,89.2397565922921,8.860040567951312,25,21,18,98.5,99.4,100.72,92
Eddie Rosario,rosared01,MIN,2019,32,562,89.27407407407408,16.915637860082303,35,31,29,98.57499999999999,99.9,101.12499999999999,100
Carlos Santana,santaca01,CLE,2019,34,573,91.86148936170213,11.72978723404256,30,26,23,101.7,102.9,104.8,104
Jean Segura,segurje01,PHI,2019,12,576,88.15207920792079,7.14851485148514,25,20,17,98.3,99.82,101.3,102
Marcus Semien,semiema01,OAK,2019,33,657,88.89214285714286,14.923214285714298,32,29,25.350000000000023,98.72500000000001,100,101.3,95
Jorge Soler,solerjo01,KCA,2019,48,589,92.5954326923077,15.444711538461535,32,28,25,104.45000000000002,106.3,108.875,101
Trevor Story,storytr01,COL,2019,35,588,90.95588235294117,17.85067873303168,34.75,31,27,101.3,102.28,104.33999999999999,118
Eugenio Suarez,suareeu01,CIN,2019,49,575,89.38384615384615,17.928205128205125,33,30,27.850000000000023,101.15,102.22000000000001,103.63,103
Jonathan Villar,villajo01,BAL,2019,24,642,88.21755888650964,7.488222698072805,25,23,18,100.35,101.68,103.71,99
Jose Abreu,abreujo02,CHA,2021,30,566,92.00470852017938,10.403587443946183,28,24.5,20,102.9,104.1,105.8,101
Ozzie Albies,albieoz01,ATL,2021,30,629,89.05549549549549,19.913513513513507,37,34,30,97.9,99.1,101.1,107
Pete Alonso,alonspe01,NYN,2021,37,561,91.3231914893617,14.62340425531915,32.75,29,26,104.27499999999999,106.3,107.965,95
Jose Altuve,altuvjo01,HOU,2021,31,601,86.54721254355401,15.806620209059222,34.75,30,26.44999999999999,97.8,99.84,101.41,101
Nolan Arenado,arenano01,SLN,2021,34,593,89.05693160813308,19.54158964879851,37,33,30,98.5,100.1,101.4,92
Bo Bichette,bichebo01,TOR,2021,29,640,91.647866419295,7.283858998144713,25,21,17,103,104.24000000000001,105.73,102
Jeimer Candelario,candeje01,DET,2021,16,557,88.42816593886464,11.506550218340612,27,25,22,99.5,100.92,103.04499999999999,96
Carlos Correa,correca01,HOU,2021,26,555,89.88964143426296,11.420318725099598,29,24,20.650000000000034,100.77499999999999,102.96000000000001,104.8,101
J. P. Crawford,crawfjp01,SEA,2021,9,619,85.66176470588236,9.452941176470597,27,24,19,97.32500000000002,98.92000000000002,100.4,95
Jake Cronenworth,croneja01,SDN,2021,21,567,87.99503105590063,11.890269151138716,28,25,22,98.55,99.6,101.53999999999999,92
Rafael Devers,deverra01,BOS,2021,38,591,92.86995967741936,14.147177419354842,31.25,26.5,23,104.4,105.5,106.975,109
